sample_name;time;treatment;rep;sample_ID;resp_basal;resp_induc;cfu_actino;cfu_bact;cfu_fungi;colonisation;spore_amf;org.matter;phosphorus;calcium ;magnesium ;sodium;potassium;ph.water;pH.chloride;conductivity;nitrogen
S053;T2;cow;B;S053_T2_cow_B;246.454.514;1.089.588.378;3250000;3250000;164000;;;3.648;125.4;276;71.6;27.4;61.4;8.58;7.53;0.27;0.14
S054;T2;cow;C;S054_T2_cow_C;1.936.316.695;1.265.060.241;1080000;1080000;113000.5;;;3.67;133.4;272;72.4;25.9;60.7;8.46;7.52;0.38;0.15
S055;T2;pellet;A;S055_T2_pellet_A;2.226.685.295;1.017.099.057;1050000;1050000;125000.5;;;3.743;71.8;228;51;24.4;51.8;8.57;7.57;0.3;0.16
S056;T2;pellet;B;S056_T2_pellet_B;246.454.514;9.079.903.148;4300000;4300000;187000.5;;;3.63;76.6;278;55.1;29.1;54.4;8.47;7.65;0.49;0.16
S057;T2;pellet;C;S057_T2_pellet_C;3.019.957.983;1.056.985.294;2750000;2750000;100000;;;3.827;73.6;300;51.8;25;19.1;8.53;7.67;0.38;0.17
S058;T2;compost;A;S058_T2_compost_A;227.425.876;1.017.099.057;1320000;1320000;133000.5;;;43.982;55.6;286;52.7;30.7;20.5;8.16;7.25;0.45;0.15
S059;T2;compost;B;S059_T2_compost_B;2.853.683.846;9.079.903.148;1160000;1160000;123000;;;4.219;61;270;69.1;29.1;18.9;8.28;7.17;0.39;0.13
S060;T2;compost;C;S060_T2_compost_C;2.031.144.211;1.066.350.711;1000000;1000000;134000.5;;;3.857;54.5;178;71.6;28.1;20.1;8.22;7.15;0.4;0.13
S061;T2;control_legumes;A;S061_T2_control_legumes_A;341.654.519;1.339.285.714;1340000;1340000;167000;;;3.656;64.9;275;72.4;26.1;19.9;8.29;7.53;0.53;0.14
S062;T2;control_legumes;B;S062_T2_control_legumes_B;3.776.575.905;1.125.979.112;2480000;2480000;198000;;;4.042;68.7;237;53.5;25;15.2;8.26;7.5;0.49;0.11
S063;T2;control_legumes;C;S063_T2_control_legumes_C;4.240.482.473;1.335.751.979;3110000;3110000;257000;;;4.288;71.5;361;54.3;25;13.8;8.33;7.59;0.51;0.16
S064;T3;control;A;S064_T3_control_A;132.602.546;4.641.089.109;955000;955000;125000;;;1.4;37.1;132;69.9;32.6;18.2;8.74;7.58;0.18;0.09
S065;T3;control;B;S065_T3_control_B;1.193.422.914;4.176.980.198;390000;390000;97500;;;1.93;44.5;135;73.2;32.6;16.6;8.36;7.21;0.24;0.1
S066;T3;control;C;S066_T3_control_C;3.987.947.536;1.395.781.638;595000;595000;148000;;;1.8;41.8;124;73.2;28.7;16.6;8.67;7.47;0.21;0.09
S067;T3;control_amf;A;S067_T3_control_amf_A;1.455.026.455;5.092.592.593;1000000;1000000;195000;;;1.62;43.3;132;72.4;28.3;15.1;8.68;7.4;0.17;0.09
S068;T3;control_amf;B;S068_T3_control_amf_B;7.820.646.507;2.737.226.277;555000;555000;95000;;;1.65;40.6;145;74.9;30.4;16.6;8.75;7.46;0.18;0.1
S069;T3;control_amf;C;S069_T3_control_amf_C;1.156.217.883;404.676.259;990000;990000;94000;;;1.54;45.9;144;69.9;31.3;16.6;8.33;7.2;0.27;0.09
S070;T3;chicken;A;S070_T3_chicken_A;5.881.350.153;2.058.472.554;12100000;12100000;148000;;;2.38;83.6;199;78.2;33.9;23.8;7.52;7.11;1.52;0.17
S071;T3;chicken;B;S071_T3_chicken_B;3.996.003.996;1.398.601.399;3150000;3150000;162500;;;2.58;91.9;190;69.1;29.6;20.7;7.59;7.1;0.1;0.19
S072;T3;chicken;C;S072_T3_chicken_C;496.031.746;1.736.111.111;3450000;3450000;149000;;;4.49;99.4;216;72.4;34.8;23.3;7.51;7.08;0.51;0.18
S073;T3;cow;A;S073_T3_cow_A;2.106.002.106;5.117.866.005;1180000;1180000;150500;;;4.21;112.8;179;86.4;35.2;26.9;8.09;7.19;0.5;0.2
S074;T3;cow;B;S074_T3_cow_B;4.101.161.996;1.435.406.699;3250000;3250000;88500;;;3.45;129.1;172;86.4;33.1;28.6;8.17;7.26;0.43;0.2
S075;T3;cow;C;S075_T3_cow_C;3.340.184.995;1.169.064.748;2900000;2900000;114500;;;3.58;121.4;173;88.9;39.6;26.1;8.16;7.27;0.44;0.2
S076;T3;pellet;A;S076_T3_pellet_A;146.224.743;790.942.928;1070000;1070000;137500;;;3.04;58.5;155;68.3;31.8;21.2;8.11;7.32;0.6;0.15
S077;T3;pellet;B;S077_T3_pellet_B;1.702.759.343;8.544.303.797;500000;500000;95500;;;4.67;65.7;203;75.7;35.2;28.4;8.05;7.47;0.82;0.2
S078;T3;pellet;C;S078_T3_pellet_C;2.447.425.671;8.565.989.848;460000;460000;102500;;;4.66;63.5;198;79;32.2;23.5;8.12;7.43;0.7;0.22
S079;T3;compost;A;S079_T3_compost_A;2.259.836.937;790.942.928;1160000;1160000;155500;;;5.38;56.5;176;76.5;33.9;24;7.87;7.02;0.56;0.2
S080;T3;compost;B;S080_T3_compost_B;2.441.229.656;8.544.303.797;1150000;1150000;130000;;;5.43;57.9;183;76.5;35.7;21.2;7.8;7.01;0.63;0.18
S081;T3;compost;C;S081_T3_compost_C;3.088.077.336;1.080.827.068;1030000;1030000;151000;;;5.09;56.6;173;74.9;34.8;20.2;7.83;6.98;0.53;0.16
S082;T3;control_legumes;A;S082_T3_control_legumes_A;5.095.482.923;1.783.419.023;4800000;4800000;126000;;;5.48;57.1;254;84.8;38.3;28.9;8;7.48;0.97;0.19
S083;T3;control_legumes;B;S083_T3_control_legumes_B;2.877.237.852;1.007.033.248;2080000;2080000;91000;;;5.1;50.3;214;90.5;35.7;20.2;8.33;7.55;0.48;0.11
S084;T3;control_legumes;C;S084_T3_control_legumes_C;4.431.699.687;1.551.094.891;1360000;1360000;160000;;;4.95;62.2;248;82.3;32.6;21.5;8.39;7.5;0.47;0.16
S085;T4;control;A;S085_T4_control_A;1.303.729.456;4.563.053.097;60000;690000;109000;3;69.5;1.79;53.9;145;80.6;35.2;15;8.57;7.37;0.3;0.1
S086;T4;control;B;S086_T4_control_B;2.253.004.005;7.885.514.019;25500;1190000;120000;3.5;46.5;1.64;53.3;148;76.5;33.7;16;8.52;7.34;0.26;0.09
S087;T4;control;C;S087_T4_control_C;2.241.976.086;78.469.163;95000;835000;76500;4;108;1.82;54.3;150;74.1;35.5;15.7;8.47;7.31;0.31;0.1
S088;T4;control_amf;A;S088_T4_control_amf_A;2.256.889.452;7.899.113.082;47000;1700000;85000;30.5;169.5;1.69;49.4;151;72.4;37.8;16.6;8.57;7.34;0.29;0.09
S089;T4;control_amf;B;S089_T4_control_amf_B;2.274.795.268;7.961.783.439;47500;2270000;98000;38.5;59.5;1.73;55;150;79.8;32.3;16.1;8.63;7.35;0.27;0.1
S090;T4;control_amf;C;S090_T4_control_amf_C;1.855.823.161;6.495.381.062;90000;1150000;132000;19.5;61;1.8;64.4;154;74.9;32.2;15;8.55;7.31;0.26;0.1
S091;T4;chicken;A;S091_T4_chicken_A;2.762.652.146;9.669.282.511;850000;18500000;59500;9.5;22;2.5;116.9;172;65;43.1;14.1;8.29;7.38;0.54;0.16
