sample_name,time,treatment,rep,sample_ID,,resp_basal,resp_induc,cfu_actino,cfu_bact,cfu_fungi,colonisation,spore_amf,org.matter,phosphorus,calcium ,magnesium ,sodium,potassium,ph.water,pH.chloride,conductivity,nitrogen
S075,T3,cow,C,S075_T3_cow_C,,33.40184995,116.9064748,2900000,2900000,114500,,,3.58,121.40,173.00,88.90,39.60,26.10,8.16,7.27,0.44,0.20
S076,T3,pellet,A,S076_T3_pellet_A,,14.6224743,79.0942928,1070000,1070000,137500,,,3.04,58.50,155.00,68.30,31.80,21.20,8.11,7.32,0.60,0.15
S077,T3,pellet,B,S077_T3_pellet_B,,17.02759343,85.44303797,500000,500000,95500,,,4.67,65.70,203.00,75.70,35.20,28.40,8.05,7.47,0.82,0.20
S078,T3,pellet,C,S078_T3_pellet_C,,24.47425671,85.65989848,460000,460000,102500,,,4.66,63.50,198.00,79.00,32.20,23.50,8.12,7.43,0.70,0.22
S079,T3,compost,A,S079_T3_compost_A,,22.59836937,79.0942928,1160000,1160000,155500,,,5.38,56.50,176.00,76.50,33.90,24.00,7.87,7.02,0.56,0.20
S080,T3,compost,B,S080_T3_compost_B,,24.41229656,85.44303797,1150000,1150000,130000,,,5.43,57.90,183.00,76.50,35.70,21.20,7.80,7.01,0.63,0.18
S081,T3,compost,C,S081_T3_compost_C,,30.88077336,108.0827068,1030000,1030000,151000,,,5.09,56.60,173.00,74.90,34.80,20.20,7.83,6.98,0.53,0.16
S082,T3,control_legumes,A,S082_T3_control_legumes_A,,50.95482923,178.3419023,4800000,4800000,126000,,,5.48,57.10,254.00,84.80,38.30,28.90,8.00,7.48,0.97,0.19
S083,T3,control_legumes,B,S083_T3_control_legumes_B,,28.77237852,100.7033248,2080000,2080000,91000,,,5.10,50.30,214.00,90.50,35.70,20.20,8.33,7.55,0.48,0.11
S084,T3,control_legumes,C,S084_T3_control_legumes_C,,44.31699687,155.1094891,1360000,1360000,160000,,,4.95,62.20,248.00,82.30,32.60,21.50,8.39,7.50,0.47,0.16
S085,T4,control,A,S085_T4_control_A,,13.03729456,45.63053097,,,,3,69.5,1.79,53.9,145,80.6,35.2,15,8.57,7.37,0.3,0.1
S086,T4,control,B,S086_T4_control_B,,22.53004005,78.85514019,,,,3.5,46.5,1.64,53.3,148,76.5,33.7,16,8.52,7.34,0.26,0.09
S087,T4,control,C,S087_T4_control_C,,22.41976086,78.469163,,,,4,108,1.82,54.3,150,74.1,35.5,15.7,8.47,7.31,0.31,0.1
S088,T4,control_amf,A,S088_T4_control_amf_A,,22.56889452,78.99113082,,,,30.5,169.5,1.69,49.4,151,72.4,37.8,16.6,8.57,7.34,0.29,0.09
S089,T4,control_amf,B,S089_T4_control_amf_B,,22.74795268,79.61783439,,,,38.5,59.5,1.73,55,150,79.8,32.3,16.1,8.63,7.35,0.27,0.1
S090,T4,control_amf,C,S090_T4_control_amf_C,,18.55823161,64.95381062,,,,19.5,61,1.8,64.4,154,74.9,32.2,15,8.55,7.31,0.26,0.1
S091,T4,chicken,A,S091_T4_chicken_A,,27.62652146,96.69282511,,,,9.5,22,2.5,116.9,172,65,43.1,14.1,8.29,7.38,0.54,0.16
S092,T4,chicken,B,S092_T4_chicken_B,,23.23874755,81.33561644,,,,15,19,2.69,113.6,172,68.3,44.2,14.9,8.07,7.25,0.67,0.15
S093,T4,chicken,C,S093_T4_chicken_C,,32.79883382,114.7959184,,,,36,26,2.56,109.2,183,67.5,47.6,14.2,7.96,7.22,0.76,0.16
S094,T4,cow,A,S094_T4_cow_A,,31.44147049,133.9285714,,,,28.5,35.5,3.91,137.6,165,79.8,49.8,23,8.26,7.39,0.62,0.17
S095,T4,cow,B,S095_T4_cow_B,,32.65075782,114.2776524,,,,8,43,3.53,114.9,161,91.3,40.5,15.9,8.51,7.46,0.3,0.17
S096,T4,cow,C,S096_T4_cow_C,,40.82810953,142.8983834,,,,14.5,37,4.41,141.7,178,93,44.8,18,8.4,7.41,0.36,0.22
S097,T4,pellet,A,S097_T4_pellet_A,,38.26530612,94.82758621,,,,21.5,93,3.3,78.6,183,72.4,43.3,20.8,8.44,7.6,0.51,0.15
S098,T4,pellet,B,S098_T4_pellet_B,,33.17496723,119.964455,,,,20,12,3.59,71,172,85.6,34.8,18.8,8.63,7.62,0.49,0.18
S099,T4,pellet,C,S099_T4_pellet_C,,37.46253746,131.1188811,,,,39.5,37,3.1,67,179,85.6,36.8,21.2,8.51,7.61,0.32,0.16
S100,T4,compost,A,S100_T4_compost_A,,27.09359606,94.82758621,,,,21.5,98.5,3.56,61.2,156,79,39.1,15.7,8.44,7.39,0.33,0.14
S101,T4,compost,B,S101_T4_compost_B,,34.27555856,119.964455,,,,27.5,91.5,4.24,62.7,165,86.4,41.8,17.3,8.57,7.39,0.26,0.14
S102,T4,compost,C,S102_T4_compost_C,,40.45439686,141.590389,,,,13,84.5,4.34,67.3,168,79,38.7,17.8,8.22,7.17,0.31,0.17
S103,T4,control_legumes,A,S103_T4_control_legumes_A,,52.49761374,183.7416481,,,,10,122,2.87,61.9,199,93,40.5,16.8,8.4,7.5,0.37,0.14
S104,T4,control_legumes,B,S104_T4_control_legumes_B,,40.08746356,140.3061224,,,,10.5,132,2.56,67.7,191,80.6,36.8,14.8,8.38,7.39,0.32,0.15
S105,T4,control_legumes,C,S105_T4_control_legumes_C,,35.14867485,123.020362,,,,1.5,96,3.06,73.3,196,83.1,36.1,15.7,8.38,7.46,0.32,0.13
S106,T5,control,A,S106_T5_control_A,,,,,,,,34,,,,,,,,,,
S107,T5,control,B,S107_T5_control_B,,,,,,,,40,,,,,,,,,,
S108,T5,control,C,S108_T5_control_C,,,,,,,,68,,,,,,,,,,
S109,T5,control_amf,A,S109_T5_control_amf_A,,,,,,,,65,,,,,,,,,,
S110,T5,control_amf,B,S110_T5_control_amf_B,,,,,,,,55,,,,,,,,,,
S111,T5,control_amf,C,S111_T5_control_amf_C,,,,,,,,68,,,,,,,,,,
S112,T5,chicken,A,S112_T5_chicken_A,,,,,,,,25,,,,,,,,,,
S113,T5,chicken,B,S113_T5_chicken_B,,,,,,,,19,,,,,,,,,,
S114,T5,chicken,C,S114_T5_chicken_C,,,,,,,,18,,,,,,,,,,
S115,T5,cow,A,S115_T5_cow_A,,,,,,,,39,,,,,,,,,,
S116,T5,cow,B,S116_T5_cow_B,,,,,,,,27,,,,,,,,,,
S117,T5,cow,C,S117_T5_cow_C,,,,,,,,34,,,,,,,,,,
S118,T5,pellet,A,S118_T5_pellet_A,,,,,,,,91,,,,,,,,,,
S119,T5,pellet,B,S119_T5_pellet_B,,,,,,,,50,,,,,,,,,,
S120,T5,pellet,C,S120_T5_pellet_C,,,,,,,,50,,,,,,,,,,
S121,T5,compost,A,S121_T5_compost_A,,,,,,,,40,,,,,,,,,,
S122,T5,compost,B,S122_T5_compost_B,,,,,,,,34,,,,,,,,,,
S123,T5,compost,C,S123_T5_compost_C,,,,,,,,31,,,,,,,,,,
S124,T5,control_legumes,A,S124_T5_control_legumes_A,,,,,,,,36,,,,,,,,,,
S125,T5,control_legumes,B,S125_T5_control_legumes_B,,,,,,,,67,,,,,,,,,,
S126,T5,control_legumes,C,S126_T5_control_legumes_C,,,,,,,,86,,,,,,,,,,
ExtrCTRL,,CTL,,ExtrCTRL_CTL,,,,,,,,,,,,,,,,,,
NTC,,NTC,,NTC_NTC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
