#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126
ZOTU206	1	0	32	1	19	0	19	15	0	1	0	4	95	0	2	0	1	7	11	12	7	20	37	45	15	25	1	1	10	27	0	0	2	1	0	2	0	2	0	122	0	9	7	19	0	67	2	7	73	509	0	0	1	121	0	4	0	6	128	2	0	1	31	1	0	71	47	56	1	8	80	0	1	0	9	21	25	35	0	77	0	0	0	1	0	1	34	10	24	34	4	50	0	6	3	103	2	12	61	0	125	1	0	181	1	1	67	49	400	0	42	17	91	0	2	8	1	1	0	0	0	0	0	7	30	157	48	0
ZOTU660	1	0	3	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	11	7	21	0	0	0	0	20	1	1	1	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	11	11	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0
ZOTU1767	1	0	0	1	0	2	3	0	0	0	0	0	10	0	0	5	1	213	252	176	3	1	1	0	1	1	4	2	1	1	0	0	9	2	0	1	0	1	311	413	315	4	0	0	0	1	9	0	0	0	0	0	0	0	0	1	1	0	0	191	275	676	0	0	1	1	0	0	1	0	0	0	0	0	6	0	0	1	1	1	497	143	139	1	0	18	0	0	0	0	1	1	0	0	0	0	0	7	0	0	1	188	0	528	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	92	248	266	0	0	0
ZOTU37	2	1	13	12	47	23	6	20	0	6	2	11	4	16	2	122	15	0	2	24	19	94	96	99	339	59	126	1068	20	12	5	5	56	14	7	132	68	224	477	146	15	27	34	27	2	152	23	139	7	50	0	1	2	0	1	22	60	20	113	29	67	277	19	7	7	39	27	121	1	116	51	1	9	0	10	16	14	62	68	34	0	25	49	2	2	15	108	68	28	39	14	167	0	18	0	72	70	26	79	86	67	34	4	253	71	110	24	13	74	108	347	22	72	7	2	2	82	76	353	3	1	953	27	43	219	3	45	72
ZOTU86	1	2	36	9	6	292	32	294	177	26	0	1	0	2	4	0	21	39	1	0	1	0	1	0	17	35	0	25	0	8	2	0	2	102	2	0	0	0	59	3	1	2	48	10	32	1	4	29	3	80	0	0	1	0	125	1	0	83	112	79	54	0	14	3	32	0	58	9	388	1	0	0	2	1	42	2	1	2	114	29	147	173	5	0	1	0	22	51	12	8	9	69	23	1	6	134	80	28	4	0	0	6	267	1357	301	64	6	0	0	0	30	0	0	45	0	0	1	0	0	2	2	1	0	0	0	0	59	2
ZOTU49	5	1	42	328	149	59	263	127	16	40	40	479	97	12	12	96	81	11	17	43	62	187	144	204	100	24	169	56	111	16	149	65	82	32	53	384	140	3	8	7	242	180	89	149	53	402	85	515	131	119	27	103	14	3	65	23	0	9	7	20	4	149	41	297	85	172	121	194	6	347	127	8	6	4	36	42	4	119	127	116	3	4	32	30	40	19	366	189	75	187	51	13	3	58	42	3	42	4	106	30	389	60	5	446	314	2	207	2	327	9	12	450	18	0	30	35	35	1	152	8	8	203	372	146	92	2	5	22
ZOTU648	1	0	0	0	0	0	5	0	0	1	0	15	5	1	0	0	0	0	0	0	4	5	1	11	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	1	2	7	0	7	5	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	1	1	0	8	0	0	0	1	0	0	11	0	1	0	0	1	0	0	0	8	0	0	1	54	1	0	0	0	0	0	0	1	0	0	0	0	6	1	0	16
ZOTU1863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	4	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	13	0	0	0	2	0
ZOTU1198	1	0	6	19	7	22	11	22	53	19	8	5	0	1	45	21	10	6	8	7	26	80	11	14	7	2	17	0	1	0	0	2	33	0	9	22	0	0	1	0	11	5	3	7	40	4	10	25	3	0	0	17	2	0	125	6	6	0	18	2	16	0	2	0	1	30	2	8	0	8	10	9	0	0	1	7	4	27	0	15	0	0	0	4	0	0	7	1	15	6	4	4	48	44	52	163	31	4	36	4	25	1	0	126	0	1	12	4	0	24	6	0	4	69	186	90	0	40	80	0	436	182	0	0	0	108	4	0
ZOTU523	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
